[2024-05-20T23:58:52.023+0000] {processor.py:161} INFO - Started process (PID=108) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-20T23:58:52.024+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-05-20T23:58:52.026+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.025+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-20T23:58:52.066+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_1', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_produces_1', 'conditional_dataset_and_time_based_timetable' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-20T23:58:52.086+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.086+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-05-20T23:58:52.126+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.126+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-05-15 01:00:00+00:00, run_after=2024-05-15 01:00:00+00:00
[2024-05-20T23:58:52.131+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.130+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-05-20T23:58:52.133+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.132+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-05-20T23:58:52.135+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.134+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-05-20T23:58:52.136+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.136+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-05-20T23:58:52.138+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.138+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-05-20T23:58:52.141+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.140+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-05-20T23:58:52.143+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.143+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-05-20T23:58:52.148+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.148+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-05-19 00:00:00+00:00, run_after=2024-05-20 00:00:00+00:00
[2024-05-20T23:58:52.151+0000] {logging_mixin.py:188} INFO - [2024-05-20T23:58:52.150+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-05-20T23:58:52.194+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.176 seconds
